Metadata_Well,Metadata_WellRow,Metadata_WellColumn,Metadata_Field,TimepointName,SerialPassage_BatchNumber,AgeGroup,PassageNumber,Staining,Drug
B06,2,6,25,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
B06,2,6,26,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
B06,2,6,27,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
B06,2,6,28,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
B06,2,6,29,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
B06,2,6,30,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
B06,2,6,31,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
B06,2,6,32,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
B06,2,6,33,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
B06,2,6,34,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
B06,2,6,35,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
B06,2,6,36,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
B06,2,6,37,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
B06,2,6,38,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
B06,2,6,39,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
B06,2,6,40,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
B07,2,7,1,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
B07,2,7,2,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
