,Plate_Name,Passage_Lineage,Passage_Number,Lineage,AllGroups,Doubling_Time_Trees,Exponential_Doubling_Rate_Trees,Selected_Times_Trees,Selected_Cell_Density_Trees,Doubling_Time_RANSAC,Exponential_Doubling_Rate_RANSAC,Selected_Times_RANSAC,Int_Plate,Int_Passage
18,Plate 4,P15 LIN9-0C-b2-s1,P15,LIN9-0C-b2-s1,P13-15,35.448156108346346,0.028210212033131614,[0.000e+00 1.000e-02 2.000e-02 ... 2.874e+01 2.875e+01 2.876e+01],"[55.9236114  55.93454768 55.9454861  ... 98.0976804  98.11686413
 98.13605161]",42.21941246814248,0.023685786739798202,[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36],4,15
17,Plate 4,P11 LIN10-0C-b4,P11,LIN10-0C-b4,P6-12,27.872779549384827,0.035877297354869324,[0.000e+00 1.000e-02 2.000e-02 ... 2.674e+01 2.675e+01 2.676e+01],"[51.01631394 51.02900238 51.04169398 ... 99.19845118 99.22312316
 99.24780128]",31.873849106450667,0.03137368181232993,[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32],4,11
46,Plate 7,P21 LIN11-0C-b5,P21,LIN11-0C-b5,P19-21,25.271210707189447,0.03957071988306078,[0.000e+00 1.000e-02 2.000e-02 ... 5.724e+01 5.725e+01 5.726e+01],"[16.45548892 16.460003   16.46451833 ... 79.09557021 79.11726778
 79.1389713 ]",27.945614549086272,0.035783789912492606,"[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50
 52 54 56 58 60 62 64 66 68 70 72]",7,21
24,Plate 5,P11 LIN11-0C-b5,P11,LIN11-0C-b5,P6-12,21.306151872187815,0.04693480108462755,[0.000e+00 1.000e-02 2.000e-02 ... 4.074e+01 4.075e+01 4.076e+01],"[25.73678306 25.7451573  25.75353426 ... 96.86366112 96.89517863
 96.9267064 ]",27.098931379305558,0.03690182413479458,"[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 38 40 42 44 46 48 50 52 54
 56]",5,11
35,Plate 6,P14 LIN11-0C-b5,P14,LIN11-0C-b5,P13-15,20.312179579830616,0.049231545835335656,[0.000e+00 1.000e-02 2.000e-02 ... 6.074e+01 6.075e+01 6.076e+01],"[11.21811836 11.22194716 11.22577727 ... 89.14505698 89.17548266
 89.20591873]",21.747976270426413,0.045981289825105784,"[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50
 52 54 56 58 60 62 64 66 68 70 72]",6,14
44,Plate 7,P13 LIN11-0C-b5-s1,P13,LIN11-0C-b5-s1,P13-15,19.106296216985488,0.052338767736208366,[0.000e+00 1.000e-02 2.000e-02 ... 4.674e+01 4.675e+01 4.676e+01],"[17.75184073 17.75828199 17.76472559 ... 96.75140639 96.78651268
 96.82163172]",23.237037942189914,0.043034744896825586,"[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50
 52 54 56 58 60 62]",7,13
34,Plate 6,P13 LIN12-0C-b2-s2,P13,LIN12-0C-b2-s2,P13-15,19.343679827894313,0.05169647186560452,[0.000e+00 1.000e-02 2.000e-02 ... 5.124e+01 5.125e+01 5.126e+01],"[14.54470585 14.54991862 14.55513327 ... 91.22449996 91.25719454
 91.28990083]",23.983350020542627,0.04169559294858571,"[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50
 52 54 56 58 60 62 64 66 68 70 72]",6,13
45,Plate 7,P20 LIN12-0C-b2-s2,P20,LIN12-0C-b2-s2,P19-21,22.946900790905524,0.04357886971805478,[0.000e+00 1.000e-02 2.000e-02 ... 5.199e+01 5.200e+01 5.201e+01],"[17.7249523  17.73030721 17.73566373 ... 85.23507186 85.26082234
 85.28658061]",27.383087983703255,0.03651889080570968,"[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50
 52 54 56 58 60 62 64 66 68 70 72]",7,20
33,Plate 6,Doxo_P12 LIN11-0C-b5,Doxo_P12,Doxo_LIN11-0C-b5,Doxo,57.47627150421128,0.0173984841714503,[30.01 30.02 30.03 ... 71.97 71.98 71.99],"[15.07192114 15.07373888 15.07555684 ... 24.99957757 25.00259263
 25.00560805]",67.63661964246724,0.014784890275210124,"[18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50 52 54 56 58 60 62 64
 66 68 70 72]",6,12
43,Plate 7,Doxo_P19 LIN12-0C-b2-s2,Doxo_P19,Doxo_LIN12-0C-b2-s2,Doxo,119.78820235560565,0.008348067508613078,[0.000e+00 1.000e-02 2.000e-02 ... 2.074e+01 2.075e+01 2.076e+01],[6.25045241 6.2508141  6.25117581 ... 7.04744121 7.04784901 7.04825685],289.8944662422134,0.003449531179268794,"[ 6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50 52
 54 56 58 60 62 64 66 68 70 72]",7,19
23,Plate 5,Doxo_P17 LIN13-0C-b2-s3,Doxo_P17,Doxo_LIN13-0C-b2-s3,Doxo,319.8142097210365,0.0031268154122115694,[23.26 23.27 23.28 ... 71.97 71.98 71.99],"[15.71666629 15.71700692 15.71734757 ... 17.4666437  17.46702227
 17.46740084]",351.4614329596312,0.002845262399288231,"[18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50 52 54 56 58 60 62 64
 66 68 70 72]",5,17
