Image_ID,Well_ID,Well,Row,Col,Field_ID,Field,PositionX,PositionY,PositionZ,PositionX (um),PositionX (pixels),PositionY (um),PositionY (pixels),PositionZ (um),PositionZ (pixels),min_bbox_PositionX (um),max_bbox_PositionX (um),min_bbox_PositionY (um),max_bbox_PositionY (um),bbox_coords
0202K1F3P6R2,0202,B02,2,2,F03,3,-0.001640163,0.002050204,4e-06,-1640.163,-17280.0,2050.204,21600.003,4.0,42.142,-1742.6731853068734,-1537.6528146931266,1947.6938146931268,2152.714185306874,"-1742.7,1947.7,-1537.7,2152.7"
0202K1F3P6R3,0202,B02,2,2,F03,3,-0.001640163,0.002050204,4e-06,-1640.163,-17280.0,2050.204,21600.003,4.0,42.142,-1742.6731853068734,-1537.6528146931266,1947.6938146931268,2152.714185306874,"-1742.7,1947.7,-1537.7,2152.7"
0202K1F3P6R4,0202,B02,2,2,F03,3,-0.001640163,0.002050204,4e-06,-1640.163,-17280.0,2050.204,21600.003,4.0,42.142,-1742.6731853068734,-1537.6528146931266,1947.6938146931268,2152.714185306874,"-1742.7,1947.7,-1537.7,2152.7"
0202K1F3P7R1,0202,B02,2,2,F03,3,-0.001640163,0.002050204,5e-06,-1640.163,-17280.0,2050.204,21600.003,5.0,52.678,-1742.6731853068734,-1537.6528146931266,1947.6938146931268,2152.714185306874,"-1742.7,1947.7,-1537.7,2152.7"
0202K1F3P7R2,0202,B02,2,2,F03,3,-0.001640163,0.002050204,5e-06,-1640.163,-17280.0,2050.204,21600.003,5.0,52.678,-1742.6731853068734,-1537.6528146931266,1947.6938146931268,2152.714185306874,"-1742.7,1947.7,-1537.7,2152.7"
0202K1F3P7R3,0202,B02,2,2,F03,3,-0.001640163,0.002050204,5e-06,-1640.163,-17280.0,2050.204,21600.003,5.0,52.678,-1742.6731853068734,-1537.6528146931266,1947.6938146931268,2152.714185306874,"-1742.7,1947.7,-1537.7,2152.7"
0202K1F3P7R4,0202,B02,2,2,F03,3,-0.001640163,0.002050204,5e-06,-1640.163,-17280.0,2050.204,21600.003,5.0,52.678,-1742.6731853068734,-1537.6528146931266,1947.6938146931268,2152.714185306874,"-1742.7,1947.7,-1537.7,2152.7"
0202K1F4P1R1,0202,B02,2,2,F04,4,-0.001435143,0.002050204,-1e-06,-1435.143,-15120.004,2050.204,21600.003,-1.0,-10.536,-1537.6531853068734,-1332.6328146931266,1947.6938146931268,2152.714185306874,"-1537.7,1947.7,-1332.6,2152.7"
0202K1F4P1R2,0202,B02,2,2,F04,4,-0.001435143,0.002050204,-1e-06,-1435.143,-15120.004,2050.204,21600.003,-1.0,-10.536,-1537.6531853068734,-1332.6328146931266,1947.6938146931268,2152.714185306874,"-1537.7,1947.7,-1332.6,2152.7"
0202K1F4P1R3,0202,B02,2,2,F04,4,-0.001435143,0.002050204,-1e-06,-1435.143,-15120.004,2050.204,21600.003,-1.0,-10.536,-1537.6531853068734,-1332.6328146931266,1947.6938146931268,2152.714185306874,"-1537.7,1947.7,-1332.6,2152.7"
0202K1F4P1R4,0202,B02,2,2,F04,4,-0.001435143,0.002050204,-1e-06,-1435.143,-15120.004,2050.204,21600.003,-1.0,-10.536,-1537.6531853068734,-1332.6328146931266,1947.6938146931268,2152.714185306874,"-1537.7,1947.7,-1332.6,2152.7"
0202K1F4P2R1,0202,B02,2,2,F04,4,-0.001435143,0.002050204,0.0,-1435.143,-15120.004,2050.204,21600.003,0.0,0.0,-1537.6531853068734,-1332.6328146931266,1947.6938146931268,2152.714185306874,"-1537.7,1947.7,-1332.6,2152.7"
0202K1F4P2R2,0202,B02,2,2,F04,4,-0.001435143,0.002050204,0.0,-1435.143,-15120.004,2050.204,21600.003,0.0,0.0,-1537.6531853068734,-1332.6328146931266,1947.6938146931268,2152.714185306874,"-1537.7,1947.7,-1332.6,2152.7"
0202K1F4P2R3,0202,B02,2,2,F04,4,-0.001435143,0.002050204,0.0,-1435.143,-15120.004,2050.204,21600.003,0.0,0.0,-1537.6531853068734,-1332.6328146931266,1947.6938146931268,2152.714185306874,"-1537.7,1947.7,-1332.6,2152.7"
